Restaurant_ID,Restaurant_Name,Cuisines,Price_for_One,Delivery_Time,Location,Rating,Delivery_review_number,,,
100127,Bowl Soul,"Indian, Asian, Continental, Pan-Asian, Chinese, Mediterranean, Mexican, Lebanese, North Indian, Korean, Japanese, South Indian",125,31,Richmond Town,4,100,,,
100128,Hotel Annapoorna,"Biryani, Andhra",225,24,Majestic,4.4,500,,,
100129,Fresh Bites,"North Indian, South Indian, Chinese, Juices, Tandoor",100,47,Indiranagar,4,10000,,,
100130,Big Bowl,"North Indian, Chinese, Tibetan, Desserts",125,28,Adugodi,3.8,1000,,,
100131,Sri Krishna Nandagokula Veg,"South Indian, Chinese, North Indian",75,31,Indiranagar,4,1000,,,
100132,Srinidhi Sagar Deluxe,"South Indian, North Indian, Indian, Chinese, Beverages, Desserts",100,34,Domlur,4.2,1000,,,
100133,RajHans Restaurant,"North Indian, Chinese, South Indian, Beverages, Snacks",100,19,Shanthinagar,3.9,1000,,,
100134,Savoury Restaurant,"Arabian, Indian, Chinese, Tandoor, Biryani, Seafood, Kerala",225,34,Frazer Town,4.3,10000,,,
100135,Gundappa Donne Biryani,Biryani,100,29,Sheshadripuram,3.8,10000,,,
100136,Paris Panini - Gourmet Sandwiches &amp; Wraps,"Continental, Pastas, Salads, Snacks, Desserts, Fast Food, French",250,25,Central Bangalore,4.5,500,,,
100137,Tenzin Kitchen,"Asian, Chinese, Pan-Asian, Tibetan",200,43,Koramangala,4.3,10000,,,
100138,Tera Bites,Chinese,100,34,Koramangala,4.3,100,,,
100139,Sagar Restaurant,"North Indian, Chinese, Chaat, Tandoor, Jain",200,39,Seshadripuram,4.1,5000,,,
100140,Juice Junction,Juices,75,15,St. Marks Road,4.3,10000,,,
100141,Karavali Family Restaurant,"Mangalorean, Seafood, Chinese, Coastal",100,28,Brigade Road,4,500,,,
100142,New Prakriti Deluxe,"Indian, Biryani, Chinese, Snacks",175,34,Rajajinagar,3.8,50,,,
100143,Samosa Party,"Fast Food, Snacks, Beverages, Chaat, North Indian, Street Food, Sweets, Desserts, Punjabi, Bakery",75,26,Brigade Road,4.6,1000,,,
100144,Belgian Waffle Factory,"American, Desserts",150,28,Vasanth Nagar,4.1,10000,,,
100145,Holige Mane,Sweets,100,29,Rajajinagar,4.5,1000,,,
